"type";"minutos";"segudos";"miliegundos";"tempo";"threads";"entrada"
"sys";0;0;72;"0.72";0;"8k-c"
"sys";0;0;72;"0.72";0;"8k-c"
"sys";0;0;72;"0.72";0;"8k-c"
"sys";0;0;68;"0.68";0;"8k-c"
"sys";0;0;80;"0.80";0;"8k-c"
"sys";0;0;72;"0.72";0;"8k-c"
"sys";0;0;76;"0.76";0;"8k-c"
"sys";0;0;296;"0.296";0;"16k-a"
"sys";0;0;276;"0.276";0;"16k-a"
"sys";0;0;264;"0.264";0;"16k-a"
"sys";0;0;284;"0.284";0;"16k-a"
"sys";0;0;264;"0.264";0;"16k-a"
"sys";0;0;264;"0.264";0;"16k-a"
"sys";0;0;268;"0.268";0;"16k-a"
"sys";0;0;268;"0.268";0;"16k-a"
"sys";0;0;272;"0.272";0;"16k-a"
"sys";0;0;268;"0.268";0;"16k-a"
"sys";0;0;268;"0.268";0;"16k-a"
"sys";0;0;260;"0.260";0;"16k-a"
"sys";0;0;260;"0.260";0;"16k-a"
"sys";0;0;260;"0.260";0;"16k-a"
"sys";0;0;264;"0.264";0;"16k-a"
"sys";0;0;264;"0.264";0;"16k-a"
"sys";0;0;264;"0.264";0;"16k-a"
"sys";0;0;264;"0.264";0;"16k-a"
"sys";0;0;260;"0.260";0;"16k-a"
"sys";0;0;288;"0.288";0;"16k-a"
"sys";0;0;472;"0.472";0;"16k-b"
"sys";0;0;332;"0.332";0;"16k-b"
"sys";0;0;264;"0.264";0;"16k-b"
"sys";0;0;288;"0.288";0;"16k-b"
"sys";0;0;272;"0.272";0;"16k-b"
"sys";0;0;268;"0.268";0;"16k-b"
"sys";0;0;260;"0.260";0;"16k-b"
"sys";0;0;264;"0.264";0;"16k-b"
"sys";0;0;264;"0.264";0;"16k-b"
"sys";0;0;272;"0.272";0;"16k-b"
"sys";0;0;264;"0.264";0;"16k-b"
"sys";0;0;264;"0.264";0;"16k-b"
"sys";0;0;272;"0.272";0;"16k-b"
"sys";0;0;304;"0.304";0;"16k-b"
"sys";0;0;268;"0.268";0;"16k-b"
"sys";0;0;268;"0.268";0;"16k-b"
"sys";0;0;264;"0.264";0;"16k-b"
"sys";0;0;284;"0.284";0;"16k-b"
"sys";0;0;264;"0.264";0;"16k-b"
"sys";0;0;264;"0.264";0;"16k-b"
"sys";0;0;337;"0.337";0;"16k-c"
"sys";0;0;292;"0.292";0;"16k-c"
"sys";0;0;312;"0.312";0;"16k-c"
"sys";0;0;272;"0.272";0;"16k-c"
"sys";0;0;264;"0.264";0;"16k-c"
"sys";0;0;264;"0.264";0;"16k-c"
"sys";0;0;264;"0.264";0;"16k-c"
"sys";0;0;260;"0.260";0;"16k-c"
"sys";0;0;268;"0.268";0;"16k-c"
"sys";0;0;272;"0.272";0;"16k-c"
"sys";0;0;268;"0.268";0;"16k-c"
"sys";0;0;264;"0.264";0;"16k-c"
"sys";0;0;272;"0.272";0;"16k-c"
"sys";0;0;272;"0.272";0;"16k-c"
"sys";0;0;264;"0.264";0;"16k-c"
"sys";0;0;264;"0.264";0;"16k-c"
"sys";0;0;260;"0.260";0;"16k-c"
"sys";0;0;264;"0.264";0;"16k-c"
"sys";0;0;272;"0.272";0;"16k-c"
"sys";0;0;280;"0.280";0;"16k-c"
"user";0;2;374;"2.374";0;"4k-a"
"user";0;2;381;"2.381";0;"4k-a"
"user";0;2;379;"2.379";0;"4k-a"
"user";0;2;384;"2.384";0;"4k-a"
"user";0;2;379;"2.379";0;"4k-a"
"user";0;2;370;"2.370";0;"4k-a"
